Actor/Actress	Movie	Year
James Doohan	Star Trek: The Motion Picture	1979
William Shatner	Star Trek: The Motion Picture	1979
Leonard Nimoy	Star Trek: The Motion Picture	1979
DeForest Kelley	Star Trek: The Motion Picture	1979
James Doohan	Actors in War	2005
Joseph Wapner	Actors in War	2005
Richard Anderson	Actors in War	2005
Richard Kline	Actors in War	2005
James Doohan	Star Trek II: The Wrath of Khan	1982
William Shatner	Star Trek II: The Wrath of Khan	1982
DeForest Kelley	Star Trek II: The Wrath of Khan	1982
Leonard Nimoy	Star Trek II: The Wrath of Khan	1982
James Doohan	The Duke	1999
Courtnee Draper	The Duke	1999
John Neville	The Duke	1999
Jeremy Maxwell	The Duke	1999
James Doohan	River of Stone	1994
Elya Baskin	The Name of the Rose	1986
Sean Connery	The Name of the Rose	1986
Christian Slater	The Name of the Rose	1986
Helmut Qualtinger	The Name of the Rose	1986
Elya Baskin	Wheelmen	2005
Jim Beaver	Wheelmen	2005
Lisa Arturo	Wheelmen	2005
James Avery	Wheelmen	2005
Dianne Wiest	Radio Days	1987
Mike Starr	Radio Days	1987
Mia Farrow	Radio Days	1987
Paul Herman	Radio Days	1987
Dianne Wiest	Bullets Over Broadway	1994
John Cusack	Bullets Over Broadway	1994
Chazz Palminteri	Bullets Over Broadway	1994
Jennifer Tilly	Bullets Over Broadway	1994
Dianne Wiest	Cops and Robbersons	1994
Robert Davi	Cops and Robbersons	1994
Jack Palance	Cops and Robbersons	1994
Chevy Chase	Cops and Robbersons	1994
Dianne Wiest	Edward Scissorhands	1990
Anthony Michael Hall	Edward Scissorhands	1990
Winona Ryder	Edward Scissorhands	1990
Johnny Depp	Edward Scissorhands	1990
Dianne Wiest	Cookie	1989
