Actor/Actress	Movie	Year
Kevin Bacon	The Big Green	2014
Kevin Bacon	Telling Lies in America	1997
Calista Flockhart	Telling Lies in America	1997
Maximilian Schell	Telling Lies in America	1997
Brad Renfro	Telling Lies in America	1997
Kevin Bacon	Songs to Keep: Treasures of an Adirondack Folk Collector	2013
N. Paul Stookey	Songs to Keep: Treasures of an Adirondack Folk Collector	2013
Pete Seeger	Songs to Keep: Treasures of an Adirondack Folk Collector	2013
Michael Bacon	Songs to Keep: Treasures of an Adirondack Folk Collector	2013
Kevin Bacon	New York Skyride	1994
James Doohan	New York Skyride	1994
Michael Harkins	New York Skyride	1994
Elya Baskin	New York Skyride	1994
Kevin Bacon	Footloose	1984
Lori Singer	Footloose	1984
Dianne Wiest	Footloose	1984
John Lithgow	Footloose	1984
Kevin Bacon	Loverboy	2005
Dominic Scott Kay	Loverboy	2005
Kyra Sedgwick	Loverboy	2005
Campbell Scott	Loverboy	2005
Kevin Bacon	Murder in the First	1995
Embeth Davidtz	Murder in the First	1995
Gary Oldman	Murder in the First	1995
Christian Slater	Murder in the First	1995
Kevin Bacon	Elephant White	2011
Markus Waldow	Elephant White	2011
Djimon Hounsou	Elephant White	2011
Jirantanin Pitakporntrakul	Elephant White	2011
Maximilian Schell	The Deadly Affair	1967
Simone Signoret	The Deadly Affair	1967
Harriet Andersson	The Deadly Affair	1967
James Mason	The Deadly Affair	1967
Maximilian Schell	Beyond the Mountains	1967
Raf Vallone	Beyond the Mountains	1967
Irene Papas	Beyond the Mountains	1967
Theodore Bikel	Beyond the Mountains	1967
Maximilian Schell	Five Finger Exercise	1962
Rosalind Russell	Five Finger Exercise	1962
Jack Hawkins	Five Finger Exercise	1962
Richard Beymer	Five Finger Exercise	1962
Maximilian Schell	Labyrinth	1991
Christopher Chaplin	Labyrinth	1991
Milos Kopecky	Labyrinth	1991
Christian Thuri	Labyrinth	1991
Maximilian Schell	You Can't Live Like That	1990
Aleksandr Nevzorov	You Can't Live Like That	1990
Olya Dvoretskaya	You Can't Live Like That	1990
Brad Renfro	The Client	1994
Mary-Louise Parker	The Client	1994
Susan Sarandon	The Client	1994
Tommy Lee Jones	The Client	1994
Brad Renfro	The Job	2003
